received_date,document_comment
2019-11-19T05:00Z,"I completely agree with this proposal. Decreasing the amount of lead in our water and making sure that the water we drink is safer and healthier is a goal that we always must strive towards. The quality of water in America is of the utmost importance and it has definitely been questioned after incidents like Flint, Michigan. Taking this step to ensure there is lead content in our waters will go a long way in ensuring clean drinking water for everyone. "
2019-11-19T05:00Z,"I agree with the proposed rule in the sense that it identifies the areas most impacted by lead and water contamination in drinking water. The lead service line inventory maintained by all water systems will work to reduce elevated levels of lead in certain locations, along with identifying the causes of elevated levels. This aspect of the proposal is relevant to the Flint water crisis in which the drinking water for the residents of Flint, Michigan became contaminated with lead after the water source was changed to a less costly part of the Flint River. By utilizing water systems that ""find-and-fix"" the causes of elevated lead levels in drinking water, we can avoid future crises as seen in Flint. The residents of cities deserve to have access to drinkable water, as it is a right. I also agree with the EPA's proposal to require systems to notify customers within 24 hours of an action level exceedance. This prevents customers from further consuming contaminated water and builds on transparency with the issue. Communicating the issue between the service line and the customers is crucial in preventing residents from becoming sick from elevated lead levels. One of the most important measures of the proposed rule that I strongly encourage is the sampling of drinking water outlets at each school and child care facility by community water systems. I believe the results from these tests can provide schools with a plan of action if their water is found to have high levels of lead. Without these tests, the children at these schools and facilities will unknowingly be consuming contaminated water. I think by actively identifying the sources of lead contamination and not waiting for people to get sick, the EPA will be able to better prevent future crises. "
2019-11-20T05:00Z,"I believe it is very important to implement replacing lead pipe plumbing that have already been in use to eliminate lead from being in drinking water. I understand that this is a very difficult thing to do and am at least relieved at this revision to not continue to install lead pipes in plumbing. Something that stood out to me in the description of this rule is the three Ts which are training, testing, and taking action to continue to eliminate lead and copper from drinking water. This way everyone will be educated and know what to do if lead is detected in water. Strengthening the rules and regulations to keep lead and copper out of drinking water will bring us to more success and continue to lessen the amount of lead detected in blood tests."
2019-11-20T05:00Z,"Access to clean water is a fundamental right. It is extremely important for people to be able to trust that the water that comes out of the tap is safe to drink. I am encouraged that this rule proposes ways to lower lead levels, especially in the places that are most in need. As there is data showing that even low levels of lead have health impacts, it is crucial to make sure we are doing everything we can to remove lead from our drinking sources and keep it out. Let's even the playing field and set more children up to succeed by removing lead from our drinking water altogether, and not wait for another Flint to make national headlines."
2019-11-22T05:00Z,"Looking at the notice proposals suite of actions, I would like to comment on the 6th key area that addresses protecting children in schools from lead exposure in their water outlets. The proposal discusses how community water systems (CWS) is going to conduct lead in drinking water testing for 20% of elementary schools that are located in a service area every year. However, I believe that the frequency of this testing should be increased. Instead of testing annually, I firmly believe that it should be tested monthly to accurately ensure that there is no lead in these outlets as it could be very detrimental to a young childs life if found too late."
2019-11-22T05:00Z,"
I believe that this rule is certainly a step in the right direction for the drinking water of this country. We have seen issues with old piping and outdates systems a number of times in this country recently, most memorably in Flint, Michigan. I saw in the summary of this rule that there are a number of revisions being made to the LCR regarding the lead content of water. However, the summary also says that there are no changes being made to the copper content. Why is that? I am probably not as familiar with the issue as many of the people involved in this rule-making process, but I am curios as to why the rule says that it is making drinking water safer by reducing lead and copper and then does not actually reduce the copper content of water."
2019-11-22T05:00Z,"I am strongly in favor of this proposed rule. With recent tragic events in areas like Flint, Michigan, the issue of water quality is apparent and now public knowledge. I think this is especially important in children. As mentioned in the proposed rule document under 1. General Information, ""data evaluated by the National Toxicology Program (NTP), 2012 demonstrates that there is sufficient evidence to conclude that there are adverse health effects associated with low-level lead exposure."" Additionally, the World Health Organization claims that any even minuscule lead exposure levels can lead to increased blood pressure and kidney damage in adults. This information, as well as additional information, can be found here: https://www.who.int/news-room/fact-sheets/detail/lead-poisoning-and-health. All in all, this is a wonderful proposed rule with clear evidence of a need for a rule like this. By focusing on children, that is especially critical because many children are ignorant of the differences in water quality, especially if there is no visible difference, and because lead exposure can have long-term negative effects that they might not realize until years later. "
2019-11-23T05:00Z,"I think that these regulations on lead and copper are strong, which is more than needed to best protect citizens and ensure our drinking water is actually safe. First touching on lead, according to the Utah Department of Environmental Quality lead is especially a health concern for children since the growing bodies are more susceptible to the harmful effects - which include brain and kidney damage, learning disabilities, behavioral problems, hyperactivity, and impaired growth. This is why I particularly like the fact that this proposal includes stronger testing requirements in schools and child care facilities, since obviously plenty of children are present in these locations. 

While copper is essential for humans, only 2mg per day is recommended and higher doses can cause serious health problems - which can be caused by tainted water supplies that hopefully these regulations will help curtail. Long term overexposure to copper can cause anemia and harm the liver and kidneys. 

Because of both of these clear potential health defects, this proposal should be passed to help ensure the safety of the public. I believe it is a right to have access to clean water, and I would not want to have a government that would not do its best to serve the greater good in such a fundamental thing to life."
2019-11-23T05:00Z,"Not only is it a good idea to increase quality specifications of water to be considered drinkable, but it is more important the the agency be able to delegate to the state level that it should be their responsibility to conduct ample water testings. Making sure that drinking water is safe in the United States is a main way that we set ourselves apart from 3rd world countries. If we cannot implement tighter reigns on our one necessary fuel, then that is problematic. "
2019-11-23T05:00Z,"As a past student of Chicago Public High schools, I am in heavy support of this ruling. Specifically the part that emphasizes the importance of having filtered water available at all water fountains in public schools. I believe that when it comes to our educational systems, they ought to be one of the top priorities for having the most advanced and effective technologies in terms of air quality, technological capabilities, as well as water purification standards. As a society, we should strive to make all educational zones as safe and state-of-the-art as possible. We appear to be lacking in taking care of our planet in the long run, we might as well try to enhance our children's futures as much as we can. I can still remember the strong metallic taste in the water fountains for much of my childhood, and given the research surrounding the effect of metallic substances in the human body, we ought to strive for the cleanest drinking water possible."
2019-11-23T05:00Z,"I completely support the proposed revisions to the EPA's current National Primary Drinking Water Regulations. I believe it is imperative to ensure that the drinking water is safe for our communities. The idea of limiting lead in new and existing infrastructure is a great way of ensuring this solution. I always hear in the news about how bad the water quality is in locations such as Flint Michigan. So, I am happy to see the EPA taking actions to guarantee the improvement of this water in the present and the future. This is definitely a win for the Safe Drinking Water Act!

Something that should be taken into account though is going to be the cost of these infrastructure improvements. When identifying the most problem areas across this country, we also need to examine the state of their financials and if they can afford to maintain the quality of drinking water."
2019-11-23T05:00Z,"I completely agree with the proposed rule. It is very important for government to transparent with the public and I believe the expansion of this rule will effectively accomplish this. The fact communication is one of the key factors the EPA wants to build on emphasizes this. Communicating the issue between the service line and the customers is crucial in preventing residents from becoming sick from elevated lead levels. The piece about the EPA requiring systems to notify consumers is also important to improve communication as well as decrease the chance of lead-related illnesses or deficiencies. 
The fact this rule focuses on protecting school children is also a very important aspect of the rule as lead-related illnesses can cause developmental delays in children. If testing was required in schools, then the risks associated with lead being in drinking water systems would cease entirely and protect the children of our future. Children are one of the few demographics that are especially susceptible to the effects of the slightest amounts of lead as their bodies are still developing and their brains and nervous systems are highly sensitive. Pregnant women are also impacted greatly by lead exposure as lead can be stored in the bones and can be released later, and can therefore expose the child to lead and cause prenatal brain development. 
The area of finding the areas that have the highest levels of lead is a productive process to effectively eliminate the problem. If we identify the areas, we can work to fix the systems that have proven to be problematic. The identification stage also has the potential to become a preventative measure; if there are areas that have not quite reached the level of lead presence that spike concern, but has shown to be increasing slowly over time, then the governments may be inclined to take action before the situation gets out of hand. The pipes would be replaced in a timely manner and could prevent populations from becoming ill. This proposed rule covers both the proactive and reactive aspects of rulemaking, and therefore has the potential to be really beneficial after revisions and reimplementation. 
"
2019-11-23T05:00Z,"AGENCY: 	Environmental Protection Agency (EPA).
Health Issue: 	Lead in San Francisco's Public School Drinking Water

	The San Francisco Unified School district is endangering the health of school children because the schools' drinking water has unsafe lead levels that are inconsistent to the American Academy of Pediatricians safe requirements. For instance, 136 public schools were tested for lead levels and the data showed that 65 schools had less than one part per billion, 66 schools found they had between one and five parts per billion, and 16 schools had lead levels at over five parts per billions. Therefore, this data illustrates that San Francisco's public schools are not safe for the school children and are exposing them to deadly toxins that will permanently damage their developing brains and cause major health issues, such as, slowed growth and development, learning and behavior problems, and hearing and speech problems.
	The American Academy of Pediatricians have strongly advised on the deadly effects of lead poisoning on young children, that is, even the smallest amount of lead is dangerous for children because ""exposure to lead can seriously harm a child's health, including damage to the brain and nervous system, slowed growth and development, learning and behavior problems, and hearing and speech problems."" Therefore, EPA needs to intervene on this health related issue to eradicate unhealthy level of lead in San Francisco's public schools and to protect the childrens' health. 
	The problem of having unsafe lead levels in the San Francisco's public schools' drinking water was caused by the federal/state lead level standards which are higher than the safe ones from American Academy of Pediatricians, that is, ""the federal/state standard of 15 ppb whereas pediatricians' have a much lower safety limit of 1ppb"". This illustrates that the federal/state level standards need to be updated to match with the safer ones of the American Academy of Pediatricians. Therefore, EPA needs to needs propose the change at the federal/state level to ensure that all public schools have safer lead level limits by following the American Academy of Pediatricians'.
	EPA's involvement in changing the federal/state level standards on lead levels is important it is responsible to ensure that lead contamination is controlled at the source by requiring the San Francisco School District to follow the safe guidance on lead levels. The school childrens' health needs to be protected especially lead poisoning has deadly effects on their health that will permanently damage their brains and ruin their lives. 
	Therefore, EPA's involvement is important and one that needs to be addressed faster due to the higher health risks associated. The EPA involvement is important to facilitate the policy change at the federal/state level by using the data that was collected from the San Francisco School District on the lead contamination. By using that data the EPA can propose for different policy changes that can be applied to ensure school children are safe. For instance, mandate the schools to take action by officially asking them to shut down which might cause problems but in the long run it will be safe for the childrens' health. EPA involvement in this policy action needs to be addressed faster.  





References
Calpirg. (2019). Lead Levels in San Francisco Schools. Retrieved from 	https://calpirg.org/feature/cap/get-out-lead-map

Centers for Disease Control and Prevention. (2019). Prevent Children's Exposure to 	Lead. Retrieved from https://www.cdc.gov/features/leadpoisoning/index.html

Lead Levels in San Francisco Schools
Lead Levels in San Francisco Schools

"
2019-11-24T05:00Z,"As a publicly funded agency, the EPA must fulfill its mission to protect the public from environmental toxins, especially lead. I strongly urge the EPA to require all water systems to fully replace all lead service lines within a specified timeline. I also demand that the EPA orohibit partial lead service line replacements, which put people's health at risk and are inefficient. Finally, the EPA must closely monitor water systems with elevated lead levels and fully replace lead service lines at a rate of at least 7% each year. I implore the EPA to make sure that the Lead and Copper Rule is effective and visionary, and that EPA robustly supports implementation and enforcement."
2019-11-20T05:00Z,"The major water crisis in Flint, Michigan isnt only in Michigan. There is an all-time high of having lead in the drinking water in public schools in San Francisco, California right now. Older pipes and plumbing fixtures are what causes to have lead in the water system, therefore, contaminating these public schools. According to the World Health Organizations (WHO) Young children are particularly vulnerable to the toxic effects of lead and can suffer profound and permanent adverse health effects, particularly affecting the development of the brain and nervous system. leaving the children in public schools vulnerable due to lead exposure in their drinking water. A high enough concentration was found at about 403 parts per billion (ppb) at West Portal Elementary School in San Francisco and at Downtown Highschool who had the highest lead concentration found in the water was at 660 ppb. According to The Food and Drug Administration (FDA), lead levels should be below the point of EPA regulation of 15 ppb in drinking water. This is a major concern for not only the people of San Francisco but everyone else in the Bay Area, if not the whole state of California as well. I think its really important to manage this crisis especially amongst those that are high at risk like the children in attending these public schools. Spreading awareness of this issue and implementing the importance of lead monitoring can keep all U.S Citizens safe from lead poisoning. This regulation will further improve public health to provide more access to clean and safe water for the public."
2019-11-20T05:00Z,"In my current neighborhood, I can check online to see that my apartment has lead service lines. However, testing of water costs between $20 and $100. I am concerned for the health of the children in my building, but don't have the money to foot the cost of the testing. Would you consider adding a provision the Lead and Copper Rule revision addressing costs of testing home drinking water? I feel this is especially pertinent if you have known lead pipes. "
2019-11-21T05:00Z,"I think that this proposed rule is a good idea for the healthy and safety of our country. In this day in age, people are attracting health conditions that lead back to lead. With decreasing lead it will lead to safer conditions. I would also like to ask how with this rule affect the country as a whole? Will it cost a huge amount? Furthermore, with all of these health conditions from unsanitary water this will benefit everyone. Although I believe this will benefit everyone, what proof is there to show for the need of this revision?"
2019-11-22T05:00Z,"Environmental injustice has plagued communities for decades and has left long lasting health issues. I agree to this proposal because it will protect communities who are exposed to lead and copper in drinking water. This a positive step towards the protection of the public and its health. By strengthening procedures and actually testing the drinking water, the government is taking action in addressing water contaminations. Water contamination is one of the largest problems in low-income areas and it leads to many health issues like waterborne diseases. Flint, Michigan has suffered and this proposal will help regulate water sources to ensure that situations like that dont happen again. This regulation will improve public health and ensure clean drinking water for everyone. 
"
2019-11-22T05:00Z,I agree with this new proposed rule because the safety of our drinking water is a human need. I believe the safety of water is something that community members should be educated about. After what happened in Flint MI it is important for people to know the threats that are possible in their water. I think it is important to educate the public on the effect of consuming copper and lead in their water and why it is important that they do not ingest these harmful things. I think that more testing and the removal of lead pipes are a great start to ensuring clean and safe drinking water. 
2019-11-23T05:00Z,"
In the National Primary Drinking Water Regulations: Proposed Lead and Copper Rule Revisions post is a great proposal for more effective efforts to reduce any copper or lead exposure when ingested by the public. There needs and needed to be a proposal like this so instances like Flint Michigan can cease to exist. The U.S needs increased state and federal efforts to keep the public safe from long term and short term affects of lead and copper exposure. Lead, specifically, worries me the most as there are many associated risk factors that many people, especially in cities and older rural towns, are at risk for exposure. People located in cities have had buildings that are older homes and buildings often retain remnants of this paint. People renovating an older home are at even higher risk(Mayo Clinic). I know of and have seen the communities surrounding downtown Chicago, especially in the south side, are homes built before 1970. These buildings were never torn down because of unpopular value in the rel-estate market, so they would be considered a neglected property or owned by a person with low income. A very low sale on a house that may or may not be up to safe living codes is not unfortunate and unacceptable on a morality perspective. Pipes are never taken out, and the house, in terms of air quality due to household dust can contain lead from lead paint chips or from contaminated soil brought in from outside(Mayo Clinic), there is no safe area around the perimeters of the property. There can even be more congregated too. 

I love the fact that the EPAs efforts in the quality of water. I hope the EPA can take my idea in consideration. I hope the government recognizes this as a very extreme case, and bad for the quality of life in the neighborhoods currently affected in Chicago. Other states also deserve better quality of water, and the removal of lead pipes in homes affected. Those affected across The United States of America live in these poisonous living predicaments deserve every right to be recipients of benefit in the solution to ensure a safe right of living without the worry of being poisoned. This includes those who are given false water quality reports, or they are already given compromised water quality reports. 











Work Cited

Lead Poisoning. Mayo Clinic, Mayo Foundation for Medical Education and Research, 6 Dec. 2016, www.mayoclinic.org/diseases-conditions/lead-poisoning/symptoms-causes/syc-20354717."
2019-11-25T05:00Z,"I believe that this is a beneficial and necessary regulation to implement across the nation. Clean water is an inherent human right and people should not have to be concerned that their water is contaminated with dangerous metals. Though there are previous regulations which diminish the probability of lead and copper exposure, such as the Safe Drinking Water Act of 1974 and the regulation that banned lead pipes in 1986, significant changes must be made in order ensure the safety of the country. It was pointed out that there are still numerous areas in the United States which have outdated plumbing and therefore contaminated water. This regulation will help modernize these areas and guarantee the safety of the people who live there. 
	Prolonged exposure to lead deposits in the water can have hazardous repercussions to public health, especially to the health of children. Bodies of young children and infants more readily absorb lead deposits than adults. This can mean serious impacts to brain and nervous system function. Additionally, these lead deposits significantly decrease the ability of their blood (hemoglobin) to absorb oxygen. Copper contamination has a similar negative effect because it can cause liver and neuronal damage in people with Wilson's disease, as well as gastrointestinal problems in people without this disease. Both lead and copper contamination are known carcinogens and effect children and adults. 
        In seeing the severe symptoms lead and copper contamination causes and the prevalence of contamination in the United States, it was made quite clear to me that this regulation is extremely important and necessary for public health. Should it not be passed, there will be many areas of the United States where infants and children will be consuming contaminated water. This contamination will have lasting effects for their health, and accordingly the health of our nation in the future.  
"
2019-11-26T05:00Z,"I firmly agree with this propose rule, especially the 6th key area on protecting children in schools. As a California Bay Area native, I am concerned about the high amount of lead contained in drinking fountains in the San Francisco school districts. According to Calpirg.org, schools like Downtown High School have 662 parts per billion or ppb of lead in their water. Whereas, Malcolm X elementary school, West Portal elementary school and New School of San Francisco have lead in their drinking water that ranges from 52.6 ppb to 538 ppb. That number is high above EPAs lead regulation of 15 ppb. 

According to pediatricians and scientist at the American Academy of Pediatrics, any amount of lead, even at 1 ppb, is considered toxic and dangerous to anyone. Lead is a neurotoxin that affects brain developments and learning abilities, limits activity and behavior, impairs hearing and formation, and optimal functioning of blood cells, especially for young children attending these schools. 

Having access to clean and safe drinking water is an ongoing process and therefore EPAs proposed policy has to be stronger and executed more stringently. EPAs lead regulation of 15 ppb at the federal and state level standards by far is not safe enough and needs to be immediately updated and aligned with the American Academy of Pediatrics. 

As EPAs proposed policy moves forward, I would also like to request that the community water system (CWS) sample each school and each childcare facilitys drinking water outlets every month to ensure that there isnt any lead or copper in the outlets. I dont think annual checks will suffice as contamination can happen anytime and safety protocols may become more lenient over long periods of time. But, when you do establish a more frequent safety protocol, you have better quality control and easier safeguarding practices for the children and students from lead contamination. 



Reference:

1. Calpirg. (2019). Get Out The Lead Map. Retrieved November 17, 2019, from https://calpirg.org/feature/cap/get-out-lead-map.

2.Calpirg. (2019). Get The Lead Out. Retrieved November 17, 2019, from https://calpirg.org/feature/cap/get-lead-out.

3. American Academy of Pediatrics. (2016). Lead Exposure in Children. Retrieved November 17, 2019, from https://www.aap.org/en-us/advocacy-and-policy/aap-health-initiatives/lead-exposure/Pages/Lead-Exposure-in-Children.aspx.
"
2019-11-22T05:00Z,"I believe that revising the National Primary Drinking Water Regulations tap water sampling, corrosion control treatment, and education for the public would definitely benefit not only the public but also the nation in the long run. The revision in tap water sampling by identifying the sampling locations and increasing the required number of samples would result in better and more accurate data. This could allow other agencies to use more accurate public health data in order to implement other projects. Moreover, public education about the dangers of lead and copper in drinking water would not only increase the current publics knowledge but also allow the future generations to better implement future projects regarding environmental protection and public health. Thought it may be costly to implement such revisions, the revisions proposed by the Environmental Protection Agency would definitely benefit both the general public and nation in the long run, which would outweigh the cost."
2019-11-22T05:00Z,"I am in favor for this plan. I currently leased an apartment that was built before 1978 and I had to read and sign an EPA document about lead poisoning and how to protect yourself from the effects. Before reading this document I had no real knowledge how prevalent this issue still is so I agree that the public should be more educated on the relevancy of this issue. 
I don't know if this is a common occurrence but my leasing agency didn't have any knowledge of whether or not the existence of lead paint in the apartment. This was concerning. Furthermore, the first proposed action in this rule to identify places of high risk of lead exposure to children. Therefore, my recommendation is to start testing apartment buildings housing more than 30 or so people. Since kids spend a large amount of their time in their homes this is a potential hot spot for lead poisoning that goes relatively unfixed. I looked up the average price of a lead test which is 300 dollars. My rent currently is above that sum so it seems reasonable for leasing companies to be required to test one of their units for lead. If the levels are above the new standards set by this rule then I propose that the building must remedy the issue before acquiring new tenants. "
